school_id,project_name,school_name,amount,masterlist_status,region,division,legislative_district,ownership_type_preloaded,ownership_type_confirmed,accessibility_rating,buildable_space_dimensions,has_buildable_space
136423,"Construction of Six (6) Storey - Twenty Four (24) School Building, Mariano Ponce Elementary School, Tondo, Manila",Mariano Ponce Elementary School,252156000,Found in masterlist,NCR,Manila,Manila 2nd,NULL,Transfer Certificate of Title (TCT),4- Highly Accessible,50m x 14m ,YES
136751,"CONSTRUCTION OF SIX (6) STOREY - TWENTY-FOUR (24) CLASSROOM SCHOOL BUILDING, PINAGLABANAN ELEMENTARY SCHOOL, SAN JUAN CITY",Pinaglabanan ES,108000000,Found in masterlist,NCR,City of San Juan,City of San Juan Lone,Tax Dec,Transfer Certificate of Title (TCT),3- Accessible,NULL,YES
305447,"Malabon NHS, 4 storey, 12 classrooms",Malabon National High School,82000000,Found in masterlist,NCR,Malabon City,Malabon City Lone,TD,Tax Declaration (TD),3- Accessible,NULL,YES
300766,"Prenza NHS, Marilao, Bulacan, 4STY 20CL",Prenza NHS,77000000,Found in masterlist,Region III,Bulacan,Bulacan 4th,NULL,Transfer Certificate of Title (TCT),4- Highly Accessible,57 x 12,YES
305891,"4STY20CL TAGUM CITY REGIONAL ACADEMY FOR SENIOR HIGH SCHOOL, TAGUM CITY, DAVAO del NORTE School ID: 305891",Tagum City Regional Academy for Senior High School,70500000,Found in masterlist,Region XI,Tagum City,Davao Del Norte 1st,NULL,Transfer Certificate of Title (TCT),4- Highly Accessible,54m x 9.5m,YES
135623,"CONSTRUCTION OF 4-STOREY, 20-CLASSROOM SCHOOL BUILDING WITH SITE ADAPTATION AT BUYAGAN ELEMENTARY SCHOOL, LA TRINIDAD, BENGUET (SCHOOL ID: 135623)",Buyagan ES,70000000,Found in masterlist,CAR,Benguet,Benguet Lone,Special Patent (SP),Special Patent (SP),4- Highly Accessible,60 X 15,YES
109730,"Construction of 4STY20CL School Building, Dalahican Elementary School, Brgy. Dalahican, Lucena City",Dalahican Elementary School,67820000,Found in masterlist,Region IV-A,Lucena City,Quezon 2nd,NULL,Tax Declaration (TD),4- Highly Accessible,NULL,YES
104552,"Construction of Four (4) Storey Sixteen (16) Classroom School Building, Balanga Elementary School, Brgy Talisay, City of Balanga, Bataan",Balanga Elementary School,64000000,Found in masterlist,Region III,Balanga City,Bataan 2nd,TCT,Transfer Certificate of Title (TCT),4- Highly Accessible,49 x 15,YES
105152,"Construction of 3 storey - 12 classroom school building at J.J. Serapio E/S (Catmon E/S) at Sta. Maria, Bulacan - school ID:105152",Jose Juan Serapio ES (Catmon ES),63000000,Found in masterlist,Region III,Bulacan,Bulacan 6th,NULL,Tax Declaration (TD),4- Highly Accessible,48 x 12,YES
104925,"Pajo ES, City of Meycauayan - 4STY16CL ",Pajo ES,62000000,Found in masterlist,Region III,Meycauayan City,Bulacan 4th,DONATION,Deed of Donation (DOD),4- Highly Accessible,50 x 20,YES
104904,"Lambakin ES, Municipality of Marilao - 4ST 16CL",Lambakin ES,62000000,Found in masterlist,Region III,Bulacan,Bulacan 4th,DOD,Transfer Certificate of Title (TCT),4- Highly Accessible,25 x 12,YES
345214,Obando Senior High School - 4ST 16CL,Obando Senior High School,62000000,Found in masterlist,Region III,Bulacan,Bulacan 4th,DOD,Tax Declaration (TD),4- Highly Accessible,48 x 12,YES
109742,"Lucena West I Elementary
School, Lucena City 4STY20CL",Lucena West I Elementary School,61700000,Found in masterlist,Region IV-A,Lucena City,Quezon 2nd,NULL,Tax Declaration (TD),4- Highly Accessible,NULL,YES
501208,Dampalit Integrated School Building Construction,Dampalit IS,60000000,Found in masterlist,NCR,Malabon City,Malabon City Lone,TD,Tax Declaration (TD),3- Accessible,NULL,YES
136594,"Constrution of 6-Storey, 18-Classroom School Building at Maricaban Elementary School, Barangay 179 Zone 19 and its vicinity, Pasay City",Maricaban Elementary School,60000000,Found in masterlist,NCR,Pasay City,Pasay City Lone,NULL,Transfer Certificate of Title (TCT),4- Highly Accessible,NULL,YES
502655,"CONSTRUCTION OF SIX (6) STOREY - TWENTY FOUR (24) CLASSROOM SCHOOL BUILDING, KABAYANAN INTEGRATED SCHOOL (PHASE 1), SAN JUAN CITY",Kabayanan Integrated School,60000000,Found in masterlist,NCR,City of San Juan,City of San Juan Lone,TCT,Transfer Certificate of Title (TCT),3- Accessible,NULL,YES
502655,"CONSTRUCTION OF SIX (6) STOREY - TWENTY-FOUR (24) CLASSROOM SCHOOL BUILDING, KABAYANAN INTEGRATED SCHOOL (PHASE 2), SAN JUAN CITY",Kabayanan Integrated School,60000000,Found in masterlist,NCR,City of San Juan,City of San Juan Lone,TCT,Transfer Certificate of Title (TCT),3- Accessible,NULL,YES
300028,"Construction of a 4-storey-16 Classroom School Building, San Nicolas National High School, Brgy. 24 Sta Monica, San Nicolas Ilocos Norte",San Nicolas NHS,60000000,Found in masterlist,Region I,Ilocos Norte,Ilocos Norte 2nd,TCT / OCT,Transfer Certificate of Title (TCT),4- Highly Accessible,58 x 15,YES
502344,"Construction of Four (4) Storey, Sixteen (16) Classrooms in Cupang Integrated School, Barangay Cupang Proper, City of Balanga, Bataan School ID: 502344",Cupang Integrated School,60000000,Found in masterlist,Region III,Balanga City,Bataan 2nd,TCT,Transfer Certificate of Title (TCT),4- Highly Accessible,49 x 15,YES
107962,"Construction of 4-Storey 16-Classroom School Building in Navarro Elementary School, Barangay Navarro, General Trias City, Cavite",Navarro Elementary School,60000000,Found in masterlist,Region IV-A,General Trias City,Cavite 6th,TCT / OCT,Transfer Certificate of Title (TCT),4- Highly Accessible,40m x 10m,YES
119902,"Construction of 4-Storey, 12-Classroom School Building at Pulangbato Elementary School, Brgy. Pulangbato, Cebu City",Pulangbato ES,60000000,Found in masterlist,Region VII,Cebu City,Cebu City 1st,NULL,Tax Declaration (TD),4- Highly Accessible,37 x 10,YES
120001,"Construction of 4-Storey, 20-Classroom School Building at Opao Elementary School, Barangay Opao, Mandaue City (School ID: 120001)",Opao Elementary School,60000000,Found in masterlist,Region VII,Mandaue City,Mandaue City Lone,DOD,Tax Declaration (TD),4- Highly Accessible,62 x 11/        49 x 10,YES
213501,"Construction of a 4-storey, 20-classroom School Building at Surigao City Special Science Elementary School, Barangay Luna, Surigao City",Surigao City Special Science Elementary School,60000000,Found in masterlist,CARAGA,Surigao City,Surigao Del Norte 2nd,NULL,DOD,4- Highly Accessible,2 - 35 x 12,YES
103822,"Construction of 12CL-3 Storey, Santiago West Central School, Santiago City, Isabela",Santiago East Central School,58995000,Found in masterlist,Region II,Santiago City,Isabela 4th,NULL,Transfer Certificate of Title (TCT),4- Highly Accessible,NULL,YES
502873,"Construction of 4-storey 20-classroom Building at Francisca Tirona Benitez Integrated School, Brgy. Malagasang, Imus, Cavite",Francisca Tirona Benitez Integrated School,55000000,Found in masterlist,Region IV-A,Imus City,Cavite 3rd,NULL,Tax Declaration (TD),4- Highly Accessible,"37 x 10
37 x 10",YES
108237,"Construction of Bigaa ES, Cabuyao, Laguna 2nd District ",Bigaa ES,55000000,Found in masterlist,Region IV-A,Cabuyao City,Laguna 2nd,SP,Special Patent (SP),4- Highly Accessible,29 x 20,YES
